"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.701122,-0.0030847609,0,-37.061523,-1.3075556e-05,0
0.5,0,26.701948,-0.0028511478,0,-37.052294,-1.278695e-05,0
0.5,0,26.702497,-0.0026002532,0,-37.043066,-1.2494955e-05,0
0.5,0,26.702628,-0.0024055126,0,-37.033837,-1.2206052e-05,0
0.5,0,26.702301,-0.0023041097,0,-37.024609,-1.1915141e-05,0
0.5,0,26.701649,-0.0022872209,0,-37.01538,-1.1607876e-05,0
0.5,0,26.700933,-0.0023147621,0,-37.006152,-1.1270746e-05,0
0.5,0,26.700352,-0.0023450508,0,-36.996923,-1.0898024e-05,0
0.5,0,26.699974,-0.0023480876,0,-36.987695,-1.0491312e-05,0
0.5,0,26.699822,-0.0023172934,0,-36.978466,-1.0055033e-05,0
0.5,0,26.699956,-0.0022828619,0,-36.969238,-9.5897276e-06,0
0.5,0,26.700408,-0.0022757437,0,-36.96001,-9.0895844e-06,0
0.5,0,26.701051,-0.0022586714,0,-36.950781,-8.5525728e-06,0
0.5,0,26.701656,-0.002147366,0,-36.941553,-7.9935994e-06,0
0.5,0,26.702096,-0.0019261514,0,-36.932324,-7.4398186e-06,0
0.5,0,26.702424,-0.0016965738,0,-36.923096,-6.9100369e-06,0
0.5,0,26.702702,-0.0015871879,0,-36.913867,-6.4019535e-06,0
0.5,0,26.702843,-0.0016494217,0,-36.904639,-5.8977372e-06,0
0.5,0,26.702699,-0.0018510516,0,-36.89541,-5.3773165e-06,0
0.5,0,26.702299,-0.002119303,0,-36.886182,-4.827523e-06,0
0.5,0,26.701869,-0.0023716307,0,-36.876953,-4.2459652e-06,0
0.5,0,26.70163,-0.0025351963,0,-36.867725,-3.6417027e-06,0
0.5,0,26.701629,-0.0025694574,0,-36.858496,-3.031984e-06,0
0.5,0,26.701723,-0.0024808502,0,-36.849268,-2.4362327e-06,0
0.5,0,26.701689,-0.002309544,0,-36.840039,-1.8706239e-06,0
0.5,0,26.701361,-0.0021066768,0,-36.830811,-1.3451473e-06,0
0.5,0,26.700707,-0.0019256782,0,-36.821583,-8.6150384e-07,0
0.5,0,26.699846,-0.0018335406,0,-36.812354,-4.118708e-07,0
0.5,0,26.699014,-0.0018765203,0,-36.803498,-2.5804012e-15,0
0.5,0,26.711736,-0.0041262468,0,-36.064848,-2.1982594e-07,0
0.5,0,26.712338,-0.0040239345,0,-36.072592,-2.5804012e-15,0
0.5,0,26.710751,-0.0042042399,0,-36.05562,-4.7362716e-07,0
0.5,0,26.70954,-0.0042552679,0,-36.046391,-7.3395936e-07,0
0.5,0,26.708165,-0.0042933421,0,-36.037163,-1.0141316e-06,0
0.5,0,26.706735,-0.004328819,0,-36.027934,-1.3233017e-06,0
0.5,0,26.705383,-0.0043684871,0,-36.018706,-1.6653394e-06,0
0.5,0,26.70421,-0.0044140031,0,-36.009477,-2.0385961e-06,0
0.5,0,26.703282,-0.0044628352,0,-36.000249,-2.4361523e-06,0
0.5,0,26.702635,-0.0045128518,0,-35.991021,-2.8474843e-06,0
0.5,0,26.702273,-0.0045635627,0,-35.981792,-3.2612588e-06,0
0.5,0,26.70218,-0.0046149066,0,-35.972564,-3.6684976e-06,0
0.5,0,26.702346,-0.0046667879,0,-35.963335,-4.0654863e-06,0
0.5,0,26.702742,-0.0047325411,0,-35.954107,-4.4562739e-06,0
0.5,0,26.703379,-0.0047872154,0,-35.944878,-4.8529347e-06,0
0.5,0,26.704075,-0.0047249567,0,-35.93565,-5.2655298e-06,0
0.5,0,26.704897,-0.0044692268,0,-35.926421,-5.683277e-06,0
0.5,0,26.7055,-0.0041951259,0,-35.917193,-6.1070634e-06,0
0.5,0,26.705107,-0.0040958753,0,-35.907964,-6.5743794e-06,0
0.5,0,26.703722,-0.0040208859,0,-35.898736,-7.1112689e-06,0
0.5,0,26.702639,-0.0039429051,0,-35.889507,-7.7201644e-06,0
0.5,0,26.702612,-0.0040749561,0,-35.880279,-8.3592913e-06,0
0.5,0,26.702788,-0.0043254286,0,-35.87105,-8.9607614e-06,0
0.5,0,26.702879,-0.0044182442,0,-35.861822,-9.5173588e-06,0
0.5,0,26.703197,-0.0043618486,0,-35.852594,-1.0059937e-05,0
0.5,0,26.703842,-0.0043449844,0,-35.843365,-1.0594924e-05,0
0.5,0,26.704696,-0.0044225269,0,-35.834137,-1.1112759e-05,0
0.5,0,26.705558,-0.0045480926,0,-35.824908,-1.161056e-05,0
